Year,Jurisdiciton,Capital and repair expenditures,Measure,"Value (1,000 dollars)"
2020,Nova Scotia,Capital expenditures,Wood product manufacturing,19200
2021,Nova Scotia,Capital expenditures,Forestry and logging,17200
2021,Nova Scotia,Capital expenditures,Paper manufacturing,8600
2021,Nova Scotia,Capital expenditures,Wood product manufacturing,34200
2022,Nova Scotia,Capital expenditures,Forestry and logging,0
2022,Nova Scotia,Capital expenditures,Paper manufacturing,11600
2022,Nova Scotia,Capital expenditures,Wood product manufacturing,56000
2023,Nova Scotia,Capital expenditures,Forestry and logging,0
2023,Nova Scotia,Capital expenditures,Paper manufacturing,17300
2023,Nova Scotia,Capital expenditures,Wood product manufacturing,23800
2006,Nunavut,Capital expenditures,Forestry and logging,0
2006,Nunavut,Capital expenditures,Paper manufacturing,0
2006,Nunavut,Capital expenditures,Wood product manufacturing,0
2007,Nunavut,Capital expenditures,Forestry and logging,0
2007,Nunavut,Capital expenditures,Paper manufacturing,0
2007,Nunavut,Capital expenditures,Wood product manufacturing,0
2008,Nunavut,Capital expenditures,Forestry and logging,0
2008,Nunavut,Capital expenditures,Paper manufacturing,0
2008,Nunavut,Capital expenditures,Wood product manufacturing,0
2009,Nunavut,Capital expenditures,Forestry and logging,0
2009,Nunavut,Capital expenditures,Paper manufacturing,0
2009,Nunavut,Capital expenditures,Wood product manufacturing,0
2010,Nunavut,Capital expenditures,Forestry and logging,0
2010,Nunavut,Capital expenditures,Paper manufacturing,0
2010,Nunavut,Capital expenditures,Wood product manufacturing,0
2011,Nunavut,Capital expenditures,Forestry and logging,0
2011,Nunavut,Capital expenditures,Paper manufacturing,0
2011,Nunavut,Capital expenditures,Wood product manufacturing,0
2012,Nunavut,Capital expenditures,Forestry and logging,0
2012,Nunavut,Capital expenditures,Paper manufacturing,0
2012,Nunavut,Capital expenditures,Wood product manufacturing,0
2013,Nunavut,Capital expenditures,Forestry and logging,0
2013,Nunavut,Capital expenditures,Paper manufacturing,0
2013,Nunavut,Capital expenditures,Wood product manufacturing,0
2014,Nunavut,Capital expenditures,Forestry and logging,0
2014,Nunavut,Capital expenditures,Paper manufacturing,0
2014,Nunavut,Capital expenditures,Wood product manufacturing,0
2015,Nunavut,Capital expenditures,Forestry and logging,0
2015,Nunavut,Capital expenditures,Paper manufacturing,0
2015,Nunavut,Capital expenditures,Wood product manufacturing,0
2016,Nunavut,Capital expenditures,Forestry and logging,0
2016,Nunavut,Capital expenditures,Paper manufacturing,0
2016,Nunavut,Capital expenditures,Wood product manufacturing,0
2017,Nunavut,Capital expenditures,Forestry and logging,0
2017,Nunavut,Capital expenditures,Paper manufacturing,0
2017,Nunavut,Capital expenditures,Wood product manufacturing,0
2018,Nunavut,Capital expenditures,Forestry and logging,0
2018,Nunavut,Capital expenditures,Paper manufacturing,0
2018,Nunavut,Capital expenditures,Wood product manufacturing,0
2019,Nunavut,Capital expenditures,Forestry and logging,0
2019,Nunavut,Capital expenditures,Paper manufacturing,0
2019,Nunavut,Capital expenditures,Wood product manufacturing,0
2020,Nunavut,Capital expenditures,Forestry and logging,0
2020,Nunavut,Capital expenditures,Paper manufacturing,0
2020,Nunavut,Capital expenditures,Wood product manufacturing,0
2021,Nunavut,Capital expenditures,Forestry and logging,0
2021,Nunavut,Capital expenditures,Paper manufacturing,0
2021,Nunavut,Capital expenditures,Wood product manufacturing,0
2022,Nunavut,Capital expenditures,Forestry and logging,0
2022,Nunavut,Capital expenditures,Paper manufacturing,0
2022,Nunavut,Capital expenditures,Wood product manufacturing,0
2023,Nunavut,Capital expenditures,Forestry and logging,0
2023,Nunavut,Capital expenditures,Paper manufacturing,0
2023,Nunavut,Capital expenditures,Wood product manufacturing,0
2006,Ontario,Capital expenditures,Forestry and logging,28400
2006,Ontario,Capital expenditures,Paper manufacturing,240400
2006,Ontario,Capital expenditures,Wood product manufacturing,175800
2007,Ontario,Capital expenditures,Forestry and logging,18500
2007,Ontario,Capital expenditures,Paper manufacturing,256100
2007,Ontario,Capital expenditures,Wood product manufacturing,129100
2008,Ontario,Capital expenditures,Forestry and logging,15900
2008,Ontario,Capital expenditures,Paper manufacturing,258200
2008,Ontario,Capital expenditures,Wood product manufacturing,104800
2009,Ontario,Capital expenditures,Forestry and logging,24500
2009,Ontario,Capital expenditures,Paper manufacturing,149900
2009,Ontario,Capital expenditures,Wood product manufacturing,27000
2010,Ontario,Capital expenditures,Forestry and logging,7000
2010,Ontario,Capital expenditures,Paper manufacturing,135200
2010,Ontario,Capital expenditures,Wood product manufacturing,54300
2011,Ontario,Capital expenditures,Forestry and logging,23400
2011,Ontario,Capital expenditures,Paper manufacturing,154800
2011,Ontario,Capital expenditures,Wood product manufacturing,62400
2012,Ontario,Capital expenditures,Forestry and logging,34800
2012,Ontario,Capital expenditures,Paper manufacturing,243500
2012,Ontario,Capital expenditures,Wood product manufacturing,28200
2013,Ontario,Capital expenditures,Forestry and logging,36600
2013,Ontario,Capital expenditures,Paper manufacturing,279300
2013,Ontario,Capital expenditures,Wood product manufacturing,103200
2014,Ontario,Capital expenditures,Forestry and logging,48700
2014,Ontario,Capital expenditures,Paper manufacturing,109000
2014,Ontario,Capital expenditures,Wood product manufacturing,61000
2015,Ontario,Capital expenditures,Forestry and logging,62100
2015,Ontario,Capital expenditures,Paper manufacturing,123900
2015,Ontario,Capital expenditures,Wood product manufacturing,111500
2016,Ontario,Capital expenditures,Forestry and logging,39600
2016,Ontario,Capital expenditures,Paper manufacturing,117200
2016,Ontario,Capital expenditures,Wood product manufacturing,0
2017,Ontario,Capital expenditures,Forestry and logging,0
2017,Ontario,Capital expenditures,Paper manufacturing,89800
2017,Ontario,Capital expenditures,Wood product manufacturing,99100
2018,Ontario,Capital expenditures,Forestry and logging,81700
2018,Ontario,Capital expenditures,Paper manufacturing,0
2018,Ontario,Capital expenditures,Wood product manufacturing,134200
2019,Ontario,Capital expenditures,Forestry and logging,0
2019,Ontario,Capital expenditures,Paper manufacturing,206100
2019,Ontario,Capital expenditures,Wood product manufacturing,124400
2020,Ontario,Capital expenditures,Forestry and logging,85600
2020,Ontario,Capital expenditures,Paper manufacturing,190800
2020,Ontario,Capital expenditures,Wood product manufacturing,178000
2021,Ontario,Capital expenditures,Forestry and logging,55500
2021,Ontario,Capital expenditures,Paper manufacturing,0
2021,Ontario,Capital expenditures,Wood product manufacturing,159900
2022,Ontario,Capital expenditures,Forestry and logging,71700
2022,Ontario,Capital expenditures,Paper manufacturing,113400
2022,Ontario,Capital expenditures,Wood product manufacturing,145500
2023,Ontario,Capital expenditures,Forestry and logging,79800
2023,Ontario,Capital expenditures,Paper manufacturing,207100
2023,Ontario,Capital expenditures,Wood product manufacturing,157800
2006,Prince Edward Island,Capital expenditures,Forestry and logging,0
2006,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2006,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2007,Prince Edward Island,Capital expenditures,Forestry and logging,0
2007,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2007,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2008,Prince Edward Island,Capital expenditures,Forestry and logging,0
2008,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2008,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2009,Prince Edward Island,Capital expenditures,Forestry and logging,0
2009,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2009,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2010,Prince Edward Island,Capital expenditures,Forestry and logging,400
2010,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2010,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2011,Prince Edward Island,Capital expenditures,Forestry and logging,0
2011,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2011,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2012,Prince Edward Island,Capital expenditures,Forestry and logging,100
2012,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2012,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2013,Prince Edward Island,Capital expenditures,Forestry and logging,0
2013,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2013,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2014,Prince Edward Island,Capital expenditures,Forestry and logging,0
2014,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2014,Prince Edward Island,Capital expenditures,Wood product manufacturing,300
2015,Prince Edward Island,Capital expenditures,Forestry and logging,0
2015,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2015,Prince Edward Island,Capital expenditures,Wood product manufacturing,100
2016,Prince Edward Island,Capital expenditures,Forestry and logging,0
2016,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2016,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2017,Prince Edward Island,Capital expenditures,Forestry and logging,0
2017,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2017,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2018,Prince Edward Island,Capital expenditures,Forestry and logging,0
2018,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2018,Prince Edward Island,Capital expenditures,Wood product manufacturing,300
2019,Prince Edward Island,Capital expenditures,Forestry and logging,0
2019,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2019,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2020,Prince Edward Island,Capital expenditures,Forestry and logging,400
2020,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2020,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2021,Prince Edward Island,Capital expenditures,Forestry and logging,400
2021,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2021,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2022,Prince Edward Island,Capital expenditures,Forestry and logging,500
2022,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2022,Prince Edward Island,Capital expenditures,Wood product manufacturing,800
2023,Prince Edward Island,Capital expenditures,Forestry and logging,200
2023,Prince Edward Island,Capital expenditures,Paper manufacturing,0
2023,Prince Edward Island,Capital expenditures,Wood product manufacturing,0
2006,Quebec,Capital expenditures,Forestry and logging,53800
2006,Quebec,Capital expenditures,Paper manufacturing,241000
2006,Quebec,Capital expenditures,Wood product manufacturing,321800
2007,Quebec,Capital expenditures,Forestry and logging,32500
2007,Quebec,Capital expenditures,Paper manufacturing,228700
2007,Quebec,Capital expenditures,Wood product manufacturing,330000
2008,Quebec,Capital expenditures,Forestry and logging,41800
2008,Quebec,Capital expenditures,Paper manufacturing,235100
2008,Quebec,Capital expenditures,Wood product manufacturing,162700
2009,Quebec,Capital expenditures,Forestry and logging,33200
2009,Quebec,Capital expenditures,Paper manufacturing,125100
2009,Quebec,Capital expenditures,Wood product manufacturing,144300
2010,Quebec,Capital expenditures,Forestry and logging,30200
2010,Quebec,Capital expenditures,Paper manufacturing,84100
2010,Quebec,Capital expenditures,Wood product manufacturing,209000
2011,Quebec,Capital expenditures,Forestry and logging,24300
2011,Quebec,Capital expenditures,Paper manufacturing,301900
2011,Quebec,Capital expenditures,Wood product manufacturing,164600
2012,Quebec,Capital expenditures,Forestry and logging,54100
2012,Quebec,Capital expenditures,Paper manufacturing,338500
2012,Quebec,Capital expenditures,Wood product manufacturing,92400
2013,Quebec,Capital expenditures,Forestry and logging,36800
2013,Quebec,Capital expenditures,Paper manufacturing,270200
2013,Quebec,Capital expenditures,Wood product manufacturing,160500
2014,Quebec,Capital expenditures,Forestry and logging,41700
2014,Quebec,Capital expenditures,Paper manufacturing,333000
2014,Quebec,Capital expenditures,Wood product manufacturing,159000
2015,Quebec,Capital expenditures,Forestry and logging,0
2015,Quebec,Capital expenditures,Paper manufacturing,270600
2015,Quebec,Capital expenditures,Wood product manufacturing,243700
2016,Quebec,Capital expenditures,Forestry and logging,72300
2016,Quebec,Capital expenditures,Paper manufacturing,255000
2016,Quebec,Capital expenditures,Wood product manufacturing,278900
2017,Quebec,Capital expenditures,Forestry and logging,48100
2017,Quebec,Capital expenditures,Paper manufacturing,194400
2017,Quebec,Capital expenditures,Wood product manufacturing,244300
2018,Quebec,Capital expenditures,Forestry and logging,0
2018,Quebec,Capital expenditures,Paper manufacturing,205900
2018,Quebec,Capital expenditures,Wood product manufacturing,275300
2019,Quebec,Capital expenditures,Forestry and logging,0
2019,Quebec,Capital expenditures,Paper manufacturing,277000
2019,Quebec,Capital expenditures,Wood product manufacturing,342400
2020,Quebec,Capital expenditures,Forestry and logging,0
2020,Quebec,Capital expenditures,Paper manufacturing,480300
2020,Quebec,Capital expenditures,Wood product manufacturing,231900
2021,Quebec,Capital expenditures,Forestry and logging,0
2021,Quebec,Capital expenditures,Paper manufacturing,264100
2021,Quebec,Capital expenditures,Wood product manufacturing,396800
2022,Quebec,Capital expenditures,Forestry and logging,139000
2022,Quebec,Capital expenditures,Paper manufacturing,237400
2022,Quebec,Capital expenditures,Wood product manufacturing,411400
2023,Quebec,Capital expenditures,Forestry and logging,137300
2023,Quebec,Capital expenditures,Paper manufacturing,440100
2023,Quebec,Capital expenditures,Wood product manufacturing,434100
2006,Saskatchewan,Capital expenditures,Forestry and logging,9200
2006,Saskatchewan,Capital expenditures,Paper manufacturing,0
2006,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2007,Saskatchewan,Capital expenditures,Forestry and logging,1300
2007,Saskatchewan,Capital expenditures,Paper manufacturing,0
2007,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2008,Saskatchewan,Capital expenditures,Forestry and logging,1800
2008,Saskatchewan,Capital expenditures,Paper manufacturing,0
2008,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2009,Saskatchewan,Capital expenditures,Forestry and logging,500
2009,Saskatchewan,Capital expenditures,Paper manufacturing,0
2009,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2010,Saskatchewan,Capital expenditures,Forestry and logging,1800
2010,Saskatchewan,Capital expenditures,Paper manufacturing,0
2010,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2011,Saskatchewan,Capital expenditures,Forestry and logging,3300
2011,Saskatchewan,Capital expenditures,Paper manufacturing,0
2011,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2012,Saskatchewan,Capital expenditures,Forestry and logging,3500
2012,Saskatchewan,Capital expenditures,Paper manufacturing,0
2012,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2013,Saskatchewan,Capital expenditures,Forestry and logging,0
2013,Saskatchewan,Capital expenditures,Paper manufacturing,0
2013,Saskatchewan,Capital expenditures,Wood product manufacturing,11500
2014,Saskatchewan,Capital expenditures,Forestry and logging,0
2014,Saskatchewan,Capital expenditures,Paper manufacturing,0
2014,Saskatchewan,Capital expenditures,Wood product manufacturing,23000
2015,Saskatchewan,Capital expenditures,Forestry and logging,0
2015,Saskatchewan,Capital expenditures,Paper manufacturing,0
2015,Saskatchewan,Capital expenditures,Wood product manufacturing,0
2016,Saskatchewan,Capital expenditures,Forestry and logging,0
2016,Saskatchewan,Capital expenditures,Paper manufacturing,0
2016,Saskatchewan,Capital expenditures,Wood product manufacturing,39100
2017,Saskatchewan,Capital expenditures,Forestry and logging,6200
2017,Saskatchewan,Capital expenditures,Paper manufacturing,0
2017,Saskatchewan,Capital expenditures,Wood product manufacturing,24800
2018,Saskatchewan,Capital expenditures,Forestry and logging,0
2018,Saskatchewan,Capital expenditures,Paper manufacturing,0
2018,Saskatchewan,Capital expenditures,Wood product manufacturing,14100
2019,Saskatchewan,Capital expenditures,Forestry and logging,0
2019,Saskatchewan,Capital expenditures,Paper manufacturing,0
2019,Saskatchewan,Capital expenditures,Wood product manufacturing,7000
2020,Saskatchewan,Capital expenditures,Forestry and logging,0
2020,Saskatchewan,Capital expenditures,Paper manufacturing,0
2020,Saskatchewan,Capital expenditures,Wood product manufacturing,13400
2021,Saskatchewan,Capital expenditures,Forestry and logging,0
2021,Saskatchewan,Capital expenditures,Paper manufacturing,0
2021,Saskatchewan,Capital expenditures,Wood product manufacturing,31000
2022,Saskatchewan,Capital expenditures,Forestry and logging,5800
2022,Saskatchewan,Capital expenditures,Paper manufacturing,0
2022,Saskatchewan,Capital expenditures,Wood product manufacturing,76700
2023,Saskatchewan,Capital expenditures,Forestry and logging,0
2023,Saskatchewan,Capital expenditures,Paper manufacturing,0
2023,Saskatchewan,Capital expenditures,Wood product manufacturing,84100
2006,Yukon,Capital expenditures,Forestry and logging,0
2006,Yukon,Capital expenditures,Paper manufacturing,0
2006,Yukon,Capital expenditures,Wood product manufacturing,0
2007,Yukon,Capital expenditures,Forestry and logging,0
2007,Yukon,Capital expenditures,Paper manufacturing,0
2007,Yukon,Capital expenditures,Wood product manufacturing,0
2008,Yukon,Capital expenditures,Forestry and logging,0
2008,Yukon,Capital expenditures,Paper manufacturing,0
2008,Yukon,Capital expenditures,Wood product manufacturing,0
2009,Yukon,Capital expenditures,Forestry and logging,0
2009,Yukon,Capital expenditures,Paper manufacturing,0
2009,Yukon,Capital expenditures,Wood product manufacturing,0
2010,Yukon,Capital expenditures,Forestry and logging,0
2010,Yukon,Capital expenditures,Paper manufacturing,0
2010,Yukon,Capital expenditures,Wood product manufacturing,0
2011,Yukon,Capital expenditures,Forestry and logging,0
2011,Yukon,Capital expenditures,Paper manufacturing,0
2011,Yukon,Capital expenditures,Wood product manufacturing,0
2012,Yukon,Capital expenditures,Forestry and logging,0
2012,Yukon,Capital expenditures,Paper manufacturing,0
2012,Yukon,Capital expenditures,Wood product manufacturing,0
2013,Yukon,Capital expenditures,Forestry and logging,0
2013,Yukon,Capital expenditures,Paper manufacturing,0
2013,Yukon,Capital expenditures,Wood product manufacturing,0
2014,Yukon,Capital expenditures,Forestry and logging,0
2014,Yukon,Capital expenditures,Paper manufacturing,0
2014,Yukon,Capital expenditures,Wood product manufacturing,0
2015,Yukon,Capital expenditures,Forestry and logging,0
2015,Yukon,Capital expenditures,Paper manufacturing,0
2015,Yukon,Capital expenditures,Wood product manufacturing,0
2016,Yukon,Capital expenditures,Forestry and logging,0
2016,Yukon,Capital expenditures,Paper manufacturing,0
2016,Yukon,Capital expenditures,Wood product manufacturing,0
2017,Yukon,Capital expenditures,Forestry and logging,0
2017,Yukon,Capital expenditures,Paper manufacturing,0
2017,Yukon,Capital expenditures,Wood product manufacturing,0
2018,Yukon,Capital expenditures,Forestry and logging,0
2018,Yukon,Capital expenditures,Paper manufacturing,0
2018,Yukon,Capital expenditures,Wood product manufacturing,0
2019,Yukon,Capital expenditures,Forestry and logging,0
2019,Yukon,Capital expenditures,Paper manufacturing,0
2019,Yukon,Capital expenditures,Wood product manufacturing,0
2020,Yukon,Capital expenditures,Forestry and logging,0
2020,Yukon,Capital expenditures,Paper manufacturing,0
2020,Yukon,Capital expenditures,Wood product manufacturing,0
2021,Yukon,Capital expenditures,Forestry and logging,0
2021,Yukon,Capital expenditures,Paper manufacturing,0
2021,Yukon,Capital expenditures,Wood product manufacturing,0
2022,Yukon,Capital expenditures,Forestry and logging,0
2022,Yukon,Capital expenditures,Paper manufacturing,0
2022,Yukon,Capital expenditures,Wood product manufacturing,0
2023,Yukon,Capital expenditures,Forestry and logging,0
2023,Yukon,Capital expenditures,Paper manufacturing,0
2023,Yukon,Capital expenditures,Wood product manufacturing,0
