Year,Jurisdiction,Industry,"Nominal GDP (1,000 Dollars)","Real GDP (1,000 Dollars)"
2019,Saskatchewan,Forestry and logging,47000,43200
2019,Saskatchewan,Pulp and paper manufacturing,84900,69100
2019,Saskatchewan,Wood product manufacturing,199500,253800
2019,Yukon,All industries,2959900,2825400
2019,Yukon,Forestry and logging,800,1100
2019,Yukon,Pulp and paper manufacturing,0,0
2019,Yukon,Wood product manufacturing,0,0
2020,Canada,All industries,2083990000,1992159167
2020,Canada,Forestry and logging,4035000,3702000
2020,Canada,Pulp and paper manufacturing,8112000,7315000
2020,Canada,Wood product manufacturing,11882000,10422000
2020,Alberta,All industries,290154000,300801400
2020,Alberta,Forestry and logging,457500,354800
2020,Alberta,Pulp and paper manufacturing,509300,579300
2020,Alberta,Wood product manufacturing,2053300,1889000
2020,British Columbia,All industries,287201800,269189900
2020,British Columbia,Forestry and logging,1943700,1847300
2020,British Columbia,Pulp and paper manufacturing,977100,1097100
2020,British Columbia,Wood product manufacturing,3052500,2552900
2020,Manitoba,All industries,67965100,65309900
2020,Manitoba,Forestry and logging,21400,17500
2020,Manitoba,Pulp and paper manufacturing,154800,142400
2020,Manitoba,Wood product manufacturing,198100,183600
2020,New Brunswick,All industries,33820300,32134500
2020,New Brunswick,Forestry and logging,250800,228100
2020,New Brunswick,Pulp and paper manufacturing,544500,538200
2020,New Brunswick,Wood product manufacturing,655900,551200
2020,Newfoundland and Labrador,All industries,29626500,29848000
2020,Newfoundland and Labrador,Forestry and logging,38900,37000
2020,Newfoundland and Labrador,Pulp and paper manufacturing,52600,39900
2020,Newfoundland and Labrador,Wood product manufacturing,31500,29200
2020,Northwest Territories,All industries,4017500,3968300
2020,Northwest Territories,Forestry and logging,100,100
2020,Northwest Territories,Pulp and paper manufacturing,0,0
2020,Northwest Territories,Wood product manufacturing,300,200
2020,Nova Scotia,All industries,42217800,39525300
2020,Nova Scotia,Forestry and logging,60800,52100
2020,Nova Scotia,Pulp and paper manufacturing,129200,114500
2020,Nova Scotia,Wood product manufacturing,174600,174300
2020,Nunavut,All industries,3993000,3417900
2020,Nunavut,Forestry and logging,0,0
2020,Nunavut,Pulp and paper manufacturing,0,0
2020,Nunavut,Wood product manufacturing,0,0
2020,Ontario,All industries,820962400,769942000
2020,Ontario,Forestry and logging,474000,423000
2020,Ontario,Pulp and paper manufacturing,2610200,2266300
2020,Ontario,Wood product manufacturing,2155600,2195200
2020,Prince Edward Island,All industries,6810300,6366400
2020,Prince Edward Island,Forestry and logging,4800,5200
2020,Prince Edward Island,Pulp and paper manufacturing,30500,24500
2020,Prince Edward Island,Wood product manufacturing,7100,5200
2020,Quebec,All industries,420699200,391038500
2020,Quebec,Forestry and logging,733100,656800
2020,Quebec,Pulp and paper manufacturing,3028900,2535900
2020,Quebec,Wood product manufacturing,3203900,2686500
2020,Saskatchewan,All industries,72671900,72791300
2020,Saskatchewan,Forestry and logging,49400,37900
2020,Saskatchewan,Pulp and paper manufacturing,74800,72800
2020,Saskatchewan,Wood product manufacturing,349000,288400
2020,Yukon,All industries,3131200,2875000
2020,Yukon,Forestry and logging,600,700
2020,Yukon,Pulp and paper manufacturing,0,0
2020,Yukon,Wood product manufacturing,0,0
2021,Canada,All industries,2500429459,2098930167
2021,Canada,Forestry and logging,5412788,3946000
2021,Canada,Pulp and paper manufacturing,8692900,7445000
2021,Canada,Wood product manufacturing,18416165,11569000
2021,Alberta,All industries,345857683,314850000
2021,Alberta,Forestry and logging,696667,429300
2021,Alberta,Pulp and paper manufacturing,571787,617700
2021,Alberta,Wood product manufacturing,3234214,2131000
2021,British Columbia,All industries,350101159,288151000
2021,British Columbia,Forestry and logging,2463646,1860500
2021,British Columbia,Pulp and paper manufacturing,1130531,1205600
2021,British Columbia,Wood product manufacturing,4619176,2766800
2021,Manitoba,All industries,78542428,66275400
2021,Manitoba,Forestry and logging,30164,19600
2021,Manitoba,Pulp and paper manufacturing,166880,145800
2021,Manitoba,Wood product manufacturing,321041,213100
2021,New Brunswick,All industries,40600632,33875200
2021,New Brunswick,Forestry and logging,350505,253300
2021,New Brunswick,Pulp and paper manufacturing,590560,554400
2021,New Brunswick,Wood product manufacturing,990736,596300
2021,Newfoundland and Labrador,All industries,34054965,30128000
2021,Newfoundland and Labrador,Forestry and logging,52661,39800
2021,Newfoundland and Labrador,Pulp and paper manufacturing,64821,46700
2021,Newfoundland and Labrador,Wood product manufacturing,43229,28700
2021,Northwest Territories,All industries,4767409,4135100
2021,Northwest Territories,Forestry and logging,126,100
2021,Northwest Territories,Pulp and paper manufacturing,,0
2021,Northwest Territories,Wood product manufacturing,209,100
2021,Nova Scotia,All industries,50982902,41914000
2021,Nova Scotia,Forestry and logging,77692,52900
2021,Nova Scotia,Pulp and paper manufacturing,140074,117900
2021,Nova Scotia,Wood product manufacturing,261969,187300
2021,Nunavut,All industries,4968410,3734500
2021,Nunavut,Forestry and logging,,0
2021,Nunavut,Pulp and paper manufacturing,,0
2021,Nunavut,Wood product manufacturing,,0
2021,Ontario,All industries,983132856,809658600
2021,Ontario,Forestry and logging,604008,428300
2021,Ontario,Pulp and paper manufacturing,2642651,2179200
2021,Ontario,Wood product manufacturing,3303314,2409300
2021,Prince Edward Island,All industries,8405190,6899700
2021,Prince Edward Island,Forestry and logging,5809,5000
2021,Prince Edward Island,Pulp and paper manufacturing,28705,21900
2021,Prince Edward Island,Wood product manufacturing,10676,5600
2021,Quebec,All industries,510476148,416656600
2021,Quebec,Forestry and logging,1084156,771800
2021,Quebec,Pulp and paper manufacturing,3253009,2586700
2021,Quebec,Wood product manufacturing,4910569,2949000
2021,Saskatchewan,All industries,82239175,72334700
2021,Saskatchewan,Forestry and logging,82675,50400
2021,Saskatchewan,Pulp and paper manufacturing,66424,61400
2021,Saskatchewan,Wood product manufacturing,663185,392500
2021,Yukon,All industries,3867053,3117900
2021,Yukon,Forestry and logging,755,700
2021,Yukon,Pulp and paper manufacturing,,0
2021,Yukon,Wood product manufacturing,,400
2022,Canada,All industries,2929777858,2180311167
2022,Canada,Forestry and logging,6215102,3653000
2022,Canada,Pulp and paper manufacturing,9667002,7244000
2022,Canada,Wood product manufacturing,18620632,12074000
2022,Alberta,All industries,360675933,331488800
2022,Alberta,Forestry and logging,680521,425500
2022,Alberta,Pulp and paper manufacturing,598062,595200
2022,Alberta,Wood product manufacturing,2261168,2147200
2022,British Columbia,All industries,360132845,299250400
2022,British Columbia,Forestry and logging,2280571,1747500
2022,British Columbia,Pulp and paper manufacturing,1205095,1183900
2022,British Columbia,Wood product manufacturing,3178325,2743700
2022,Manitoba,All industries,80387881,68483200
2022,Manitoba,Forestry and logging,28060,18500
2022,Manitoba,Pulp and paper manufacturing,184129,148200
2022,Manitoba,Wood product manufacturing,251714,240800
2022,New Brunswick,All industries,40754495,34329700
2022,New Brunswick,Forestry and logging,342030,250800
2022,New Brunswick,Pulp and paper manufacturing,620004,536200
2022,New Brunswick,Wood product manufacturing,680174,590000
2022,Newfoundland and Labrador,All industries,33241175,29690100
2022,Newfoundland and Labrador,Forestry and logging,48509,37200
2022,Newfoundland and Labrador,Pulp and paper manufacturing,81814,54300
2022,Newfoundland and Labrador,Wood product manufacturing,31876,30500
2022,Northwest Territories,All industries,4857556,4253700
2022,Northwest Territories,Forestry and logging,124,100
2022,Northwest Territories,Pulp and paper manufacturing,,0
2022,Northwest Territories,Wood product manufacturing,145,100
2022,Nova Scotia,All industries,52033991,43188400
2022,Nova Scotia,Forestry and logging,73675,50900
2022,Nova Scotia,Pulp and paper manufacturing,161335,125100
2022,Nova Scotia,Wood product manufacturing,164205,169200
2022,Nunavut,All industries,4930304,3741400
2022,Nunavut,Forestry and logging,,0
2022,Nunavut,Pulp and paper manufacturing,,0
2022,Nunavut,Wood product manufacturing,,0
2022,Ontario,All industries,1009681055,839497400
2022,Ontario,Forestry and logging,539546,388200
2022,Ontario,Pulp and paper manufacturing,2717068,2064100
2022,Ontario,Wood product manufacturing,2542160,2672200
2022,Prince Edward Island,All industries,8578975,7109900
2022,Prince Edward Island,Forestry and logging,5725,5000
2022,Prince Edward Island,Pulp and paper manufacturing,31444,22100
2022,Prince Edward Island,Wood product manufacturing,8069,6100
2022,Quebec,All industries,519698384,428252200
2022,Quebec,Forestry and logging,873147,630700
2022,Quebec,Pulp and paper manufacturing,3472965,2544100
2022,Quebec,Wood product manufacturing,3581506,3099800
2022,Saskatchewan,All industries,86343277,76672900
2022,Saskatchewan,Forestry and logging,76630,47400
2022,Saskatchewan,Pulp and paper manufacturing,69989,59600
2022,Saskatchewan,Wood product manufacturing,421120,359200
2022,Yukon,All industries,4051077,3297600
2022,Yukon,Forestry and logging,638,600
2022,Yukon,Pulp and paper manufacturing,,0
2022,Yukon,Wood product manufacturing,,300
2023,Canada,All industries,2915028517,2208311833
2023,Canada,Forestry and logging,4884653,3390000
2023,Canada,Pulp and paper manufacturing,8812033,6509000
2023,Canada,Wood product manufacturing,13331246,11209000
2023,Alberta,All industries,318670339,336299900
2023,Alberta,Forestry and logging,409956,375400
2023,Alberta,Pulp and paper manufacturing,447915,502200
2023,Alberta,Wood product manufacturing,1613240,1924500
2023,British Columbia,All industries,318749751,304127200
2023,British Columbia,Forestry and logging,1386465,1555900
2023,British Columbia,Pulp and paper manufacturing,851936,942900
2023,British Columbia,Wood product manufacturing,2276965,2469300
2023,Manitoba,All industries,70936135,69389600
2023,Manitoba,Forestry and logging,21024,20300
2023,Manitoba,Pulp and paper manufacturing,147008,133300
2023,Manitoba,Wood product manufacturing,227411,273300
2023,New Brunswick,All industries,35970916,34792000
2023,New Brunswick,Forestry and logging,229445,246400
2023,New Brunswick,Pulp and paper manufacturing,544282,530300
2023,New Brunswick,Wood product manufacturing,512522,558500
2023,Newfoundland and Labrador,All industries,28228180,28950200
2023,Newfoundland and Labrador,Forestry and logging,32143,36100
2023,Newfoundland and Labrador,Pulp and paper manufacturing,69144,51700
2023,Newfoundland and Labrador,Wood product manufacturing,25374,30500
2023,Northwest Territories,All industries,4227645,4250900
2023,Northwest Territories,Forestry and logging,85,100
2023,Northwest Territories,Pulp and paper manufacturing,,0
2023,Northwest Territories,Wood product manufacturing,116,100
2023,Nova Scotia,All industries,45921339,43765100
2023,Nova Scotia,Forestry and logging,47440,48000
2023,Nova Scotia,Pulp and paper manufacturing,116763,102000
2023,Nova Scotia,Wood product manufacturing,131019,169600
2023,Nunavut,All industries,4439765,3868600
2023,Nunavut,Forestry and logging,,0
2023,Nunavut,Pulp and paper manufacturing,,0
2023,Nunavut,Wood product manufacturing,,0
2023,Ontario,All industries,893187395,852729200
2023,Ontario,Forestry and logging,385490,406200
2023,Ontario,Pulp and paper manufacturing,2176562,1862800
2023,Ontario,Wood product manufacturing,2019052,2666200
2023,Prince Edward Island,All industries,7636593,7267100
2023,Prince Edward Island,Forestry and logging,3909,5000
2023,Prince Edward Island,Pulp and paper manufacturing,24754,19600
2023,Prince Edward Island,Wood product manufacturing,6528,6200
2023,Quebec,All industries,453624911,429218600
2023,Quebec,Forestry and logging,580598,614200
2023,Quebec,Pulp and paper manufacturing,2903759,2396400
2023,Quebec,Wood product manufacturing,2576027,2800900
2023,Saskatchewan,All industries,76398158,77898600
2023,Saskatchewan,Forestry and logging,40733,36900
2023,Saskatchewan,Pulp and paper manufacturing,52535,50400
2023,Saskatchewan,Wood product manufacturing,262799,281600
2023,Yukon,All industries,3584346,3350200
2023,Yukon,Forestry and logging,436,600
2023,Yukon,Pulp and paper manufacturing,,0
2023,Yukon,Wood product manufacturing,,300
